PairID,Pred_Score
ENG-train-0000,0.25
ENG-train-0001,1.00
ENG-train-0002,0.40
ENG-train-0003,1.00
ENG-train-0004,1.00
ENG-train-0005,0.50
ENG-train-0006,1.00
ENG-train-0007,1.00
ENG-train-0008,1.00
ENG-train-0009,1.00
ENG-train-0010,0.86
ENG-train-0011,1.00
ENG-train-0012,0.67
ENG-train-0013,0.89
ENG-train-0014,0.50
ENG-train-0015,1.00
ENG-train-0016,1.00
ENG-train-0017,0.33
ENG-train-0018,1.00
ENG-train-0019,1.00
ENG-train-0020,1.00
ENG-train-0021,0.67
ENG-train-0022,0.20
ENG-train-0023,0.50
ENG-train-0024,0.00
ENG-train-0025,1.00
ENG-train-0026,0.14
ENG-train-0027,0.00
ENG-train-0028,0.67
ENG-train-0029,0.67
ENG-train-0030,1.00
ENG-train-0031,1.00
ENG-train-0032,1.00
ENG-train-0033,0.29
ENG-train-0034,0.00
ENG-train-0035,1.00
ENG-train-0036,0.67
ENG-train-0037,0.00
ENG-train-0038,1.00
ENG-train-0039,1.00
ENG-train-0040,0.00
ENG-train-0041,1.00
ENG-train-0042,0.67
ENG-train-0043,0.00
ENG-train-0044,0.89
ENG-train-0045,1.00
ENG-train-0046,0.57
ENG-train-0047,1.00
ENG-train-0048,0.50
ENG-train-0049,1.00
ENG-train-0050,0.80
ENG-train-0051,0.67
ENG-train-0052,0.57
ENG-train-0053,0.67
ENG-train-0054,1.00
ENG-train-0055,0.00
ENG-train-0056,1.00
ENG-train-0057,0.25
ENG-train-0058,1.00
ENG-train-0059,1.00
ENG-train-0060,1.00
ENG-train-0061,0.36
ENG-train-0062,0.50
ENG-train-0063,0.33
ENG-train-0064,0.40
ENG-train-0065,0.80
ENG-train-0066,0.40
ENG-train-0067,0.00
ENG-train-0068,1.00
ENG-train-0069,1.00
ENG-train-0070,1.00
ENG-train-0071,0.67
ENG-train-0072,0.40
ENG-train-0073,0.80
ENG-train-0074,1.00
ENG-train-0075,0.00
ENG-train-0076,0.50
ENG-train-0077,1.00
ENG-train-0078,1.00
ENG-train-0079,0.67
ENG-train-0080,0.67
ENG-train-0081,1.00
ENG-train-0082,0.50
ENG-train-0083,1.00
ENG-train-0084,1.00
ENG-train-0085,0.80
ENG-train-0086,1.00
ENG-train-0087,1.00
ENG-train-0088,0.25
ENG-train-0089,1.00
ENG-train-0090,1.00
ENG-train-0091,1.00
ENG-train-0092,0.00
ENG-train-0093,1.00
ENG-train-0094,0.40
ENG-train-0095,1.00
ENG-train-0096,0.40
ENG-train-0097,1.00
ENG-train-0098,1.00
ENG-train-0099,0.67
ENG-train-0100,0.89
ENG-train-0101,1.00
ENG-train-0102,0.00
ENG-train-0103,1.00
ENG-train-0104,0.67
ENG-train-0105,1.00
ENG-train-0106,0.59
ENG-train-0107,0.80
ENG-train-0108,1.00
ENG-train-0109,0.00
ENG-train-0110,0.33
ENG-train-0111,0.86
ENG-train-0112,0.36
ENG-train-0113,0.75
ENG-train-0114,1.00
ENG-train-0115,0.50
ENG-train-0116,1.00
ENG-train-0117,0.91
ENG-train-0118,1.00
ENG-train-0119,1.00
ENG-train-0120,0.40
ENG-train-0121,0.40
ENG-train-0122,0.67
ENG-train-0123,0.50
ENG-train-0124,1.00
ENG-train-0125,0.73
ENG-train-0126,0.40
ENG-train-0127,0.57
ENG-train-0128,0.80
ENG-train-0129,1.00
ENG-train-0130,0.67
ENG-train-0131,1.00
ENG-train-0132,0.57
ENG-train-0133,0.80
ENG-train-0134,0.44
ENG-train-0135,0.67
ENG-train-0136,1.00
ENG-train-0137,1.00
ENG-train-0138,1.00
ENG-train-0139,1.00
ENG-train-0140,0.00
ENG-train-0141,1.00
ENG-train-0142,1.00
ENG-train-0143,1.00
ENG-train-0144,0.00
ENG-train-0145,0.86
ENG-train-0146,0.40
ENG-train-0147,1.00
ENG-train-0148,1.00
ENG-train-0149,0.57
ENG-train-0150,1.00
ENG-train-0151,0.75
ENG-train-0152,0.33
ENG-train-0153,1.00
ENG-train-0154,1.00
ENG-train-0155,0.67
ENG-train-0156,0.33
ENG-train-0157,1.00
ENG-train-0158,1.00
ENG-train-0159,0.75
ENG-train-0160,0.89
ENG-train-0161,1.00
ENG-train-0162,0.44
ENG-train-0163,0.86
ENG-train-0164,1.00
ENG-train-0165,0.40
ENG-train-0166,1.00
ENG-train-0167,0.57
ENG-train-0168,0.33
ENG-train-0169,0.22
ENG-train-0170,0.00
ENG-train-0171,1.00
ENG-train-0172,1.00
ENG-train-0173,0.40
ENG-train-0174,0.33
ENG-train-0175,1.00
ENG-train-0176,0.67
ENG-train-0177,0.40
ENG-train-0178,0.29
ENG-train-0179,1.00
ENG-train-0180,0.62
ENG-train-0181,0.57
ENG-train-0182,0.25
ENG-train-0183,1.00
ENG-train-0184,1.00
ENG-train-0185,1.00
ENG-train-0186,0.57
ENG-train-0187,1.00
ENG-train-0188,1.00
ENG-train-0189,0.80
ENG-train-0190,0.80
ENG-train-0191,0.50
ENG-train-0192,0.67
ENG-train-0193,0.40
ENG-train-0194,0.25
ENG-train-0195,1.00
ENG-train-0196,1.00
ENG-train-0197,0.00
ENG-train-0198,1.00
ENG-train-0199,0.89
ENG-train-0200,1.00
ENG-train-0201,0.67
ENG-train-0202,1.00
ENG-train-0203,0.27
ENG-train-0204,0.50
ENG-train-0205,0.22
ENG-train-0206,0.86
ENG-train-0207,0.40
ENG-train-0208,1.00
ENG-train-0209,0.57
ENG-train-0210,1.00
ENG-train-0211,0.80
ENG-train-0212,1.00
ENG-train-0213,0.18
ENG-train-0214,0.33
ENG-train-0215,0.50
ENG-train-0216,0.57
ENG-train-0217,0.29
ENG-train-0218,0.29
ENG-train-0219,0.75
ENG-train-0220,0.29
ENG-train-0221,0.80
ENG-train-0222,0.44
ENG-train-0223,0.33
ENG-train-0224,0.67
ENG-train-0225,0.57
ENG-train-0226,0.55
ENG-train-0227,0.36
ENG-train-0228,0.29
ENG-train-0229,0.67
ENG-train-0230,0.83
ENG-train-0231,0.40
ENG-train-0232,1.00
ENG-train-0233,1.00
ENG-train-0234,0.80
ENG-train-0235,1.00
ENG-train-0236,0.29
ENG-train-0237,0.25
ENG-train-0238,0.67
ENG-train-0239,0.00
ENG-train-0240,1.00
ENG-train-0241,0.80
ENG-train-0242,0.50
ENG-train-0243,0.50
ENG-train-0244,0.33
ENG-train-0245,0.47
ENG-train-0246,1.00
ENG-train-0247,0.89
ENG-train-0248,0.67
ENG-train-0249,0.50
ENG-train-0250,0.00
ENG-train-0251,1.00
ENG-train-0252,0.67
ENG-train-0253,1.00
ENG-train-0254,1.00
ENG-train-0255,0.67
ENG-train-0256,0.00
ENG-train-0257,0.00
ENG-train-0258,1.00
ENG-train-0259,0.57
ENG-train-0260,0.71
ENG-train-0261,1.00
ENG-train-0262,0.27
ENG-train-0263,0.67
ENG-train-0264,1.00
ENG-train-0265,0.80
ENG-train-0266,0.40
ENG-train-0267,0.33
ENG-train-0268,1.00
ENG-train-0269,0.60
ENG-train-0270,0.53
ENG-train-0271,0.29
ENG-train-0272,0.80
