PairID,Pred_Score
ENG-train-0000,0.80
ENG-train-0001,0.80
ENG-train-0002,0.00
ENG-train-0003,0.53
ENG-train-0004,1.00
ENG-train-0005,0.40
ENG-train-0006,0.57
ENG-train-0007,0.33
ENG-train-0008,0.38
ENG-train-0009,0.75
ENG-train-0010,0.25
ENG-train-0011,1.00
ENG-train-0012,0.50
ENG-train-0013,0.58
ENG-train-0014,0.38
ENG-train-0015,0.60
ENG-train-0016,1.00
ENG-train-0017,0.33
ENG-train-0018,1.00
ENG-train-0019,1.00
ENG-train-0020,0.75
ENG-train-0021,0.50
ENG-train-0022,0.09
ENG-train-0023,0.25
ENG-train-0024,0.33
ENG-train-0025,0.86
ENG-train-0026,0.05
ENG-train-0027,0.50
ENG-train-0028,0.71
ENG-train-0029,0.20
ENG-train-0030,0.67
ENG-train-0031,0.57
ENG-train-0032,0.71
ENG-train-0033,0.20
ENG-train-0034,0.50
ENG-train-0035,0.75
ENG-train-0036,0.33
ENG-train-0037,0.38
ENG-train-0038,0.43
ENG-train-0039,0.17
ENG-train-0040,0.00
ENG-train-0041,0.67
ENG-train-0042,0.40
ENG-train-0043,0.00
ENG-train-0044,0.31
ENG-train-0045,0.83
ENG-train-0046,0.43
ENG-train-0047,0.75
ENG-train-0048,0.50
ENG-train-0049,0.60
ENG-train-0050,0.31
ENG-train-0051,0.27
ENG-train-0052,0.43
ENG-train-0053,0.12
ENG-train-0054,0.60
ENG-train-0055,0.33
ENG-train-0056,0.68
ENG-train-0057,0.20
ENG-train-0058,0.75
ENG-train-0059,1.00
ENG-train-0060,0.80
ENG-train-0061,0.23
ENG-train-0062,0.31
ENG-train-0063,0.22
ENG-train-0064,0.27
ENG-train-0065,0.40
ENG-train-0066,0.13
ENG-train-0067,0.12
ENG-train-0068,0.60
ENG-train-0069,0.54
ENG-train-0070,0.70
ENG-train-0071,0.33
ENG-train-0072,0.25
ENG-train-0073,0.40
ENG-train-0074,0.25
ENG-train-0075,0.22
ENG-train-0076,0.09
ENG-train-0077,1.00
ENG-train-0078,0.71
ENG-train-0079,0.38
ENG-train-0080,0.50
ENG-train-0081,1.00
ENG-train-0082,0.50
ENG-train-0083,0.44
ENG-train-0084,0.70
ENG-train-0085,0.80
ENG-train-0086,0.27
ENG-train-0087,0.75
ENG-train-0088,0.25
ENG-train-0089,0.56
ENG-train-0090,0.43
ENG-train-0091,0.43
ENG-train-0092,0.14
ENG-train-0093,1.00
ENG-train-0094,0.14
ENG-train-0095,0.50
ENG-train-0096,0.40
ENG-train-0097,0.55
ENG-train-0098,0.60
ENG-train-0099,0.40
ENG-train-0100,0.60
ENG-train-0101,0.67
ENG-train-0102,0.50
ENG-train-0103,1.00
ENG-train-0104,0.50
ENG-train-0105,0.67
ENG-train-0106,0.39
ENG-train-0107,0.50
ENG-train-0108,0.50
ENG-train-0109,0.00
ENG-train-0110,0.00
ENG-train-0111,0.86
ENG-train-0112,0.29
ENG-train-0113,0.57
ENG-train-0114,0.67
ENG-train-0115,0.33
ENG-train-0116,0.80
ENG-train-0117,0.43
ENG-train-0118,0.73
ENG-train-0119,0.67
ENG-train-0120,0.50
ENG-train-0121,0.00
ENG-train-0122,0.29
ENG-train-0123,0.14
ENG-train-0124,0.31
ENG-train-0125,0.40
ENG-train-0126,0.22
ENG-train-0127,0.38
ENG-train-0128,0.60
ENG-train-0129,0.25
ENG-train-0130,0.22
ENG-train-0131,0.33
ENG-train-0132,0.22
ENG-train-0133,0.67
ENG-train-0134,0.18
ENG-train-0135,0.58
ENG-train-0136,1.00
ENG-train-0137,1.00
ENG-train-0138,0.78
ENG-train-0139,0.33
ENG-train-0140,0.00
ENG-train-0141,0.38
ENG-train-0142,0.33
ENG-train-0143,0.50
ENG-train-0144,0.30
ENG-train-0145,0.22
ENG-train-0146,0.50
ENG-train-0147,0.45
ENG-train-0148,1.00
ENG-train-0149,0.53
ENG-train-0150,0.40
ENG-train-0151,0.20
ENG-train-0152,0.11
ENG-train-0153,0.38
ENG-train-0154,0.43
ENG-train-0155,0.25
ENG-train-0156,0.29
ENG-train-0157,0.44
ENG-train-0158,0.62
ENG-train-0159,0.38
ENG-train-0160,0.45
ENG-train-0161,0.50
ENG-train-0162,0.57
ENG-train-0163,0.29
ENG-train-0164,0.83
ENG-train-0165,0.33
ENG-train-0166,0.71
ENG-train-0167,0.33
ENG-train-0168,0.36
ENG-train-0169,0.25
ENG-train-0170,0.11
ENG-train-0171,0.40
ENG-train-0172,0.67
ENG-train-0173,0.60
ENG-train-0174,0.17
ENG-train-0175,0.33
ENG-train-0176,0.38
ENG-train-0177,0.20
ENG-train-0178,0.20
ENG-train-0179,0.63
ENG-train-0180,0.29
ENG-train-0181,0.22
ENG-train-0182,0.22
ENG-train-0183,0.57
ENG-train-0184,0.75
ENG-train-0185,0.22
ENG-train-0186,0.67
ENG-train-0187,0.67
ENG-train-0188,0.20
ENG-train-0189,0.83
ENG-train-0190,0.25
